output file:
processed_classes-GPflowk_diag106.json
function:
K_diag
Error Cases:

Pass or Failed: 0

Related Failed Test Cases:
{'../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel15] FAILED [ 55%]', 'FAILED ../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel16]', 'FAILED ../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel10]', '../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel10] FAILED [ 52%]', '../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel16] FAILED [ 55%]', 'FAILED ../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel14]', '../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel14] FAILED [ 54%]', 'FAILED ../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_diags[30-3-kernel15]'}

All Test Cases On Generated code:
============================= test session starts ==============================
platform linux -- Python 3.11.10, pytest-8.3.4, pluggy-1.5.0 -- /local/data0/moved_data/publishablew/GPflow/GPflow/venv/bin/python3
cachedir: .pytest_cache
rootdir: /local/data0/moved_data/publishablew/GPflow/GPflow
collecting ... collected 177 items

../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_rbf_1d[2.3-1.4] PASSED [  0%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_rq_1d[2.3-1.4] PASSED [  1%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-1-1.7-0] PASSED [  1%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-1-1.7-1] PASSED [  2%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-1-1.7-2] PASSED [  2%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-3-1.7-0] PASSED [  3%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-3-1.7-1] PASSED [  3%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-3-1.7-2] PASSED [  4%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-3-weight_variances2-0] PASSED [  5%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-3-weight_variances2-1] PASSED [  5%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_1d_and_3d[3-0.6-2.3-3-weight_variances2-2] PASSED [  6%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_non_implemented_order[42] PASSED [  6%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_arccosine_nan_gradient[1-4] PASSED [  7%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-1-2.0-3.0-SquaredExponential] PASSED [  7%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-1-2.0-3.0-Matern12] PASSED [  8%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-1-2.0-3.0-Matern32] PASSED [  9%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-1-2.0-3.0-Matern52] PASSED [  9%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-3.0-SquaredExponential] PASSED [ 10%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-3.0-Matern12] PASSED [ 10%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-3.0-Matern32] PASSED [ 11%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-3.0-Matern52] PASSED [ 11%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-period2-SquaredExponential] PASSED [ 12%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-period2-Matern12] PASSED [ 12%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-period2-Matern32] PASSED [ 13%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-11.5-period2-Matern52] PASSED [ 14%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-lengthscales3-3.0-SquaredExponential] PASSED [ 14%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-lengthscales3-3.0-Matern12] PASSED [ 15%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-lengthscales3-3.0-Matern32] PASSED [ 15%]
../../../../../../local/data0/moved_data/publishablew/GPflow/GPflow/tests/gpflow/kernels/test_kernels.py::test_periodic[3-2.3-2-lengthscales3-3.0-Matern52] PASSED [ 16%]
